department,grade,category,category_kor,expected_count,actual_count,missing_count,extra_count,missing_codes,extra_codes,status,api_status,http_code
신소재공학과,4,MAJOR_REQUIRED,전필,4,4,0,0,,,PASS,OK,200
신소재공학과,4,MAJOR_BASIC,전기,7,7,0,0,,,PASS,OK,200
신소재공학과,4,MAJOR_ELECTIVE,전선,23,23,0,0,,,PASS,OK,200
신소재공학과,5,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
신소재공학과,5,MAJOR_BASIC,전기,5,5,0,0,,,PASS,OK,200
신소재공학과,5,MAJOR_ELECTIVE,전선,5,5,0,0,,,PASS,OK,200
언론홍보학과,1,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
언론홍보학과,1,MAJOR_BASIC,전기,11,11,0,0,,,PASS,OK,200
언론홍보학과,1,MAJOR_ELECTIVE,전선,4,4,0,0,,,PASS,OK,200
언론홍보학과,2,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
언론홍보학과,2,MAJOR_BASIC,전기,2,2,0,0,,,PASS,OK,200
언론홍보학과,2,MAJOR_ELECTIVE,전선,24,24,0,0,,,PASS,OK,200
언론홍보학과,3,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
언론홍보학과,3,MAJOR_BASIC,전기,2,2,0,0,,,PASS,OK,200
언론홍보학과,3,MAJOR_ELECTIVE,전선,25,25,0,0,,,PASS,OK,200
언론홍보학과,4,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
언론홍보학과,4,MAJOR_BASIC,전기,2,2,0,0,,,PASS,OK,200
언론홍보학과,4,MAJOR_ELECTIVE,전선,28,28,0,0,,,PASS,OK,200
언론홍보학과,5,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
언론홍보학과,5,MAJOR_BASIC,전기,2,2,0,0,,,PASS,OK,200
언론홍보학과,5,MAJOR_ELECTIVE,전선,4,4,0,0,,,PASS,OK,200
영어영문학과,1,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
영어영문학과,1,MAJOR_BASIC,전기,5,5,0,0,,,PASS,OK,200
영어영문학과,1,MAJOR_ELECTIVE,전선,1,1,0,0,,,PASS,OK,200
영어영문학과,2,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
영어영문학과,2,MAJOR_BASIC,전기,3,3,0,0,,,PASS,OK,200
영어영문학과,2,MAJOR_ELECTIVE,전선,13,13,0,0,,,PASS,OK,200
영어영문학과,3,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
영어영문학과,3,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
영어영문학과,3,MAJOR_ELECTIVE,전선,16,16,0,0,,,PASS,OK,200
영어영문학과,4,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
영어영문학과,4,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
영어영문학과,4,MAJOR_ELECTIVE,전선,19,19,0,0,,,PASS,OK,200
영어영문학과,5,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
영어영문학과,5,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
영어영문학과,5,MAJOR_ELECTIVE,전선,1,1,0,0,,,PASS,OK,200
